DesignName,ParticipantID,TrialID,Block1,VV,OC
Preattention-Experiment,2,72,1,OrientationSize,Small
Preattention-Experiment,2,73,2,Size,Medium
Preattention-Experiment,2,74,2,Size,Large
Preattention-Experiment,2,75,2,Size,Large
Preattention-Experiment,2,76,2,Size,Small
Preattention-Experiment,2,77,2,Size,Medium
Preattention-Experiment,2,78,2,Size,Medium
Preattention-Experiment,2,79,2,Size,Small
Preattention-Experiment,2,80,2,Size,Large
Preattention-Experiment,2,81,2,Size,Large
Preattention-Experiment,2,82,2,Size,Large
Preattention-Experiment,2,83,2,Size,Medium
Preattention-Experiment,2,84,2,Size,Small
Preattention-Experiment,2,85,2,Size,Small
Preattention-Experiment,2,86,2,Size,Medium
Preattention-Experiment,2,87,2,Size,Large
Preattention-Experiment,2,88,2,Size,Medium
Preattention-Experiment,2,89,2,Size,Small
Preattention-Experiment,2,90,2,Size,Small
Preattention-Experiment,2,91,3,Orientation,Medium
Preattention-Experiment,2,92,3,Orientation,Large
Preattention-Experiment,2,93,3,Orientation,Large
Preattention-Experiment,2,94,3,Orientation,Small
Preattention-Experiment,2,95,3,Orientation,Medium
Preattention-Experiment,2,96,3,Orientation,Medium
Preattention-Experiment,2,97,3,Orientation,Small
Preattention-Experiment,2,98,3,Orientation,Large
Preattention-Experiment,2,99,3,Orientation,Large
Preattention-Experiment,2,100,3,Orientation,Large
Preattention-Experiment,2,101,3,Orientation,Medium
Preattention-Experiment,2,102,3,Orientation,Small
Preattention-Experiment,2,103,3,Orientation,Small
Preattention-Experiment,2,104,3,Orientation,Medium
Preattention-Experiment,2,105,3,Orientation,Large
Preattention-Experiment,2,106,3,Orientation,Medium
Preattention-Experiment,2,107,3,Orientation,Small
Preattention-Experiment,2,108,3,Orientation,Small
Preattention-Experiment,3,109,1,Orientation,Medium
Preattention-Experiment,3,110,1,Orientation,Large
Preattention-Experiment,3,111,1,Orientation,Large
Preattention-Experiment,3,112,1,Orientation,Small
Preattention-Experiment,3,113,1,Orientation,Medium
Preattention-Experiment,3,114,1,Orientation,Medium
Preattention-Experiment,3,115,1,Orientation,Small
Preattention-Experiment,3,116,1,Orientation,Large
Preattention-Experiment,3,117,1,Orientation,Large
Preattention-Experiment,3,118,1,Orientation,Large
Preattention-Experiment,3,119,1,Orientation,Medium
Preattention-Experiment,3,120,1,Orientation,Small
Preattention-Experiment,3,121,1,Orientation,Small
Preattention-Experiment,3,122,1,Orientation,Medium
Preattention-Experiment,3,123,1,Orientation,Large
Preattention-Experiment,3,124,1,Orientation,Medium
Preattention-Experiment,3,125,1,Orientation,Small
Preattention-Experiment,3,126,1,Orientation,Small
Preattention-Experiment,3,127,2,OrientationSize,Medium
Preattention-Experiment,3,128,2,OrientationSize,Large
Preattention-Experiment,3,129,2,OrientationSize,Large
Preattention-Experiment,3,130,2,OrientationSize,Small
Preattention-Experiment,3,131,2,OrientationSize,Medium
Preattention-Experiment,3,132,2,OrientationSize,Medium
Preattention-Experiment,3,133,2,OrientationSize,Small
Preattention-Experiment,3,134,2,OrientationSize,Large
Preattention-Experiment,3,135,2,OrientationSize,Large
Preattention-Experiment,3,136,2,OrientationSize,Large
Preattention-Experiment,3,137,2,OrientationSize,Medium
Preattention-Experiment,3,138,2,OrientationSize,Small
Preattention-Experiment,3,139,2,OrientationSize,Small
Preattention-Experiment,3,140,2,OrientationSize,Medium
Preattention-Experiment,3,141,2,OrientationSize,Large
Preattention-Experiment,3,142,2,OrientationSize,Medium
Preattention-Experiment,3,143,2,OrientationSize,Small
Preattention-Experiment,3,144,2,OrientationSize,Small
Preattention-Experiment,3,145,3,Size,Medium
Preattention-Experiment,3,146,3,Size,Large
Preattention-Experiment,3,147,3,Size,Large
Preattention-Experiment,3,148,3,Size,Small
Preattention-Experiment,3,149,3,Size,Medium
Preattention-Experiment,3,150,3,Size,Medium
Preattention-Experiment,3,151,3,Size,Small
Preattention-Experiment,3,152,3,Size,Large
Preattention-Experiment,3,153,3,Size,Large
Preattention-Experiment,3,154,3,Size,Large
Preattention-Experiment,3,155,3,Size,Medium
Preattention-Experiment,3,156,3,Size,Small
Preattention-Experiment,3,157,3,Size,Small
Preattention-Experiment,3,158,3,Size,Medium
Preattention-Experiment,3,159,3,Size,Large
Preattention-Experiment,3,160,3,Size,Medium
Preattention-Experiment,3,161,3,Size,Small
Preattention-Experiment,3,162,3,Size,Small
Preattention-Experiment,4,163,1,Size,Medium
Preattention-Experiment,4,164,1,Size,Large
Preattention-Experiment,4,165,1,Size,Large
Preattention-Experiment,4,166,1,Size,Small
Preattention-Experiment,4,167,1,Size,Medium
Preattention-Experiment,4,168,1,Size,Medium
Preattention-Experiment,4,169,1,Size,Small
Preattention-Experiment,4,170,1,Size,Large
Preattention-Experiment,4,171,1,Size,Large
Preattention-Experiment,4,172,1,Size,Large
Preattention-Experiment,4,173,1,Size,Medium
Preattention-Experiment,4,174,1,Size,Small
Preattention-Experiment,4,175,1,Size,Small
Preattention-Experiment,4,176,1,Size,Medium
Preattention-Experiment,4,177,1,Size,Large
Preattention-Experiment,4,178,1,Size,Medium
Preattention-Experiment,4,179,1,Size,Small
Preattention-Experiment,4,180,1,Size,Small
Preattention-Experiment,4,181,2,Orientation,Medium
Preattention-Experiment,4,182,2,Orientation,Large
Preattention-Experiment,4,183,2,Orientation,Large
Preattention-Experiment,4,184,2,Orientation,Small
Preattention-Experiment,4,185,2,Orientation,Medium
Preattention-Experiment,4,186,2,Orientation,Medium
Preattention-Experiment,4,187,2,Orientation,Small
Preattention-Experiment,4,188,2,Orientation,Large
Preattention-Experiment,4,189,2,Orientation,Large
Preattention-Experiment,4,190,2,Orientation,Large
Preattention-Experiment,4,191,2,Orientation,Medium
Preattention-Experiment,4,192,2,Orientation,Small
Preattention-Experiment,4,193,2,Orientation,Small
Preattention-Experiment,4,194,2,Orientation,Medium
Preattention-Experiment,4,195,2,Orientation,Large
Preattention-Experiment,4,196,2,Orientation,Medium
Preattention-Experiment,4,197,2,Orientation,Small
Preattention-Experiment,4,198,2,Orientation,Small
Preattention-Experiment,4,199,3,OrientationSize,Medium
Preattention-Experiment,4,200,3,OrientationSize,Large
Preattention-Experiment,4,201,3,OrientationSize,Large
Preattention-Experiment,4,202,3,OrientationSize,Small
Preattention-Experiment,4,203,3,OrientationSize,Medium
Preattention-Experiment,4,204,3,OrientationSize,Medium
Preattention-Experiment,4,205,3,OrientationSize,Small
Preattention-Experiment,4,206,3,OrientationSize,Large
Preattention-Experiment,4,207,3,OrientationSize,Large
Preattention-Experiment,4,208,3,OrientationSize,Large
Preattention-Experiment,4,209,3,OrientationSize,Medium
Preattention-Experiment,4,210,3,OrientationSize,Small
Preattention-Experiment,4,211,3,OrientationSize,Small
Preattention-Experiment,4,212,3,OrientationSize,Medium
Preattention-Experiment,4,213,3,OrientationSize,Large
Preattention-Experiment,4,214,3,OrientationSize,Medium
Preattention-Experiment,4,215,3,OrientationSize,Small
Preattention-Experiment,4,216,3,OrientationSize,Small
Preattention-Experiment,5,217,1,OrientationSize,Medium
Preattention-Experiment,5,218,1,OrientationSize,Large
Preattention-Experiment,5,219,1,OrientationSize,Large
Preattention-Experiment,5,220,1,OrientationSize,Small
Preattention-Experiment,5,221,1,OrientationSize,Medium
Preattention-Experiment,5,222,1,OrientationSize,Medium
Preattention-Experiment,5,223,1,OrientationSize,Small
Preattention-Experiment,5,224,1,OrientationSize,Large
Preattention-Experiment,5,225,1,OrientationSize,Large
Preattention-Experiment,5,226,1,OrientationSize,Large
Preattention-Experiment,5,227,1,OrientationSize,Medium
Preattention-Experiment,5,228,1,OrientationSize,Small
Preattention-Experiment,5,229,1,OrientationSize,Small
Preattention-Experiment,5,230,1,OrientationSize,Medium
Preattention-Experiment,5,231,1,OrientationSize,Large
Preattention-Experiment,5,232,1,OrientationSize,Medium
Preattention-Experiment,5,233,1,OrientationSize,Small
Preattention-Experiment,5,234,1,OrientationSize,Small
Preattention-Experiment,5,235,2,Size,Medium
Preattention-Experiment,5,236,2,Size,Large
Preattention-Experiment,5,237,2,Size,Large
Preattention-Experiment,5,238,2,Size,Small
Preattention-Experiment,5,239,2,Size,Medium
Preattention-Experiment,5,240,2,Size,Medium
Preattention-Experiment,5,241,2,Size,Small
Preattention-Experiment,5,242,2,Size,Large
Preattention-Experiment,5,243,2,Size,Large
Preattention-Experiment,5,244,2,Size,Large
Preattention-Experiment,5,245,2,Size,Medium
Preattention-Experiment,5,246,2,Size,Small
Preattention-Experiment,5,247,2,Size,Small
Preattention-Experiment,5,248,2,Size,Medium
Preattention-Experiment,5,249,2,Size,Large
Preattention-Experiment,5,250,2,Size,Medium
Preattention-Experiment,5,251,2,Size,Small
Preattention-Experiment,5,252,2,Size,Small
Preattention-Experiment,5,253,3,Orientation,Medium
Preattention-Experiment,5,254,3,Orientation,Large
Preattention-Experiment,5,255,3,Orientation,Large
Preattention-Experiment,5,256,3,Orientation,Small
Preattention-Experiment,5,257,3,Orientation,Medium
Preattention-Experiment,5,258,3,Orientation,Medium
Preattention-Experiment,5,259,3,Orientation,Small
Preattention-Experiment,5,260,3,Orientation,Large
Preattention-Experiment,5,261,3,Orientation,Large
Preattention-Experiment,5,262,3,Orientation,Large
Preattention-Experiment,5,263,3,Orientation,Medium
Preattention-Experiment,5,264,3,Orientation,Small
Preattention-Experiment,5,265,3,Orientation,Small
Preattention-Experiment,5,266,3,Orientation,Medium
Preattention-Experiment,5,267,3,Orientation,Large
Preattention-Experiment,5,268,3,Orientation,Medium
Preattention-Experiment,5,269,3,Orientation,Small
Preattention-Experiment,5,270,3,Orientation,Small
Preattention-Experiment,6,271,1,Orientation,Medium
Preattention-Experiment,6,272,1,Orientation,Large
Preattention-Experiment,6,273,1,Orientation,Large
Preattention-Experiment,6,274,1,Orientation,Small
Preattention-Experiment,6,275,1,Orientation,Medium
Preattention-Experiment,6,276,1,Orientation,Medium
Preattention-Experiment,6,277,1,Orientation,Small
Preattention-Experiment,6,278,1,Orientation,Large
Preattention-Experiment,6,279,1,Orientation,Large
Preattention-Experiment,6,280,1,Orientation,Large
Preattention-Experiment,6,281,1,Orientation,Medium
Preattention-Experiment,6,282,1,Orientation,Small
Preattention-Experiment,6,283,1,Orientation,Small
Preattention-Experiment,6,284,1,Orientation,Medium
Preattention-Experiment,6,285,1,Orientation,Large
Preattention-Experiment,6,286,1,Orientation,Medium
Preattention-Experiment,6,287,1,Orientation,Small
Preattention-Experiment,6,288,1,Orientation,Small
Preattention-Experiment,6,289,2,OrientationSize,Medium
Preattention-Experiment,6,290,2,OrientationSize,Large
Preattention-Experiment,6,291,2,OrientationSize,Large
Preattention-Experiment,6,292,2,OrientationSize,Small
Preattention-Experiment,6,293,2,OrientationSize,Medium
Preattention-Experiment,6,294,2,OrientationSize,Medium
Preattention-Experiment,6,295,2,OrientationSize,Small
Preattention-Experiment,6,296,2,OrientationSize,Large
Preattention-Experiment,6,297,2,OrientationSize,Large
Preattention-Experiment,6,298,2,OrientationSize,Large
Preattention-Experiment,6,299,2,OrientationSize,Medium
Preattention-Experiment,6,300,2,OrientationSize,Small
Preattention-Experiment,6,301,2,OrientationSize,Small
Preattention-Experiment,6,302,2,OrientationSize,Medium
Preattention-Experiment,6,303,2,OrientationSize,Large
Preattention-Experiment,6,304,2,OrientationSize,Medium
Preattention-Experiment,6,305,2,OrientationSize,Small
Preattention-Experiment,6,306,2,OrientationSize,Small
Preattention-Experiment,6,307,3,Size,Medium
Preattention-Experiment,6,308,3,Size,Large
Preattention-Experiment,6,309,3,Size,Large
Preattention-Experiment,6,310,3,Size,Small
Preattention-Experiment,6,311,3,Size,Medium
Preattention-Experiment,6,312,3,Size,Medium
Preattention-Experiment,6,313,3,Size,Small
Preattention-Experiment,6,314,3,Size,Large
Preattention-Experiment,6,315,3,Size,Large
Preattention-Experiment,6,316,3,Size,Large
Preattention-Experiment,6,317,3,Size,Medium
Preattention-Experiment,6,318,3,Size,Small
Preattention-Experiment,6,319,3,Size,Small
Preattention-Experiment,6,320,3,Size,Medium
Preattention-Experiment,6,321,3,Size,Large
Preattention-Experiment,6,322,3,Size,Medium
Preattention-Experiment,6,323,3,Size,Small
Preattention-Experiment,6,324,3,Size,Small
